company,model,drivetrain,class,seat,price_raw,range_raw,efficiency,weight,zero_to_sixty,one_stop_range,battery,rapidcharge,towing,boot_space,price_range
Tesla,Model 3 Long Range RWD(Highland),Rear Wheel Drive,D,5,"£44,990",360 mi,219 Wh/mi,"1,822 kg",5.2 sec,428 mi,79.0 kWh,120 kW,"1,000 kg",682 L,£125 /mi
Mercedes-Benz,CLA 250+,Rear Wheel Drive,D,5,"£45,615",360 mi,236 Wh/mi,"2,055 kg",6.7 sec,474 mi,85.0 kWh,235 kW,"1,500 kg",506 L,£127 /mi
MG,MG4 EV Long Range,Rear Wheel Drive,C,5,"£29,495",225 mi,274 Wh/mi,"1,726 kg",7.9 sec,252 mi,61.7 kWh,115 kW,500 kg,363 L,£131 /mi
Ford,Puma Gen-E,Front Wheel Drive,B,5,"£26,245",170 mi,256 Wh/mi,"1,563 kg",8.0 sec,194 mi,43.6 kWh,85 kW,750 kg,566 L,£154 /mi
Tesla,Model Y Long Range RWD(Juniper),Rear Wheel Drive,D,5,"£48,990",290 mi,259 Wh/mi,"1,976 kg",5.6 sec,343 mi,75.0 kWh,124 kW,"1,600 kg",971 L,£169 /mi
BMW,iX3 50 xDrive(MY26),All Wheel Drive,D,5,"£58,755",375 mi,290 Wh/mi,"2,360 kg",4.9 sec,461 mi,108.7 kWh,225 kW,"2,000 kg",578 L,£157 /mi
Jaecoo,5 EV,Front Wheel Drive,C,5,"£27,505",200 mi,295 Wh/mi,"1,765 kg",7.7 sec,212 mi,58.9 kWh,80 kW,0 kg,480 L,£138 /mi
Renault,5 E-Tech 52kWh 150hp,Front Wheel Drive,B,5,"£25,495",205 mi,254 Wh/mi,"1,504 kg",8.0 sec,216 mi,52.0 kWh,70 kW,500 kg,326 L,£124 /mi
Kia,EV3 Long Range,Front Wheel Drive,B,5,"£35,995",280 mi,279 Wh/mi,"1,885 kg",7.7 sec,293 mi,78.0 kWh,105 kW,"1,000 kg",485 L,£129 /mi
Kia,Niro EV,Front Wheel Drive,C,5,"£37,295",240 mi,270 Wh/mi,"1,757 kg",7.8 sec,227 mi,64.8 kWh,70 kW,750 kg,495 L,£155 /mi
Tesla,Model 3 RWD(Highland CATL LFP64),Rear Wheel Drive,D,5,"£39,990",270 mi,222 Wh/mi,"1,836 kg",6.1 sec,323 mi,60.0 kWh,110 kW,"1,000 kg",682 L,£148 /mi
Tesla,Model 3 Long Range RWD(Highland),Rear Wheel Drive,D,5,"£44,990",340 mi,221 Wh/mi,"1,822 kg",5.2 sec,407 mi,75.0 kWh,124 kW,"1,000 kg",682 L,£132 /mi
MG,MGS5 EV Long Range,Rear Wheel Drive,C,5,"£30,995",225 mi,276 Wh/mi,"1,755 kg",6.3 sec,240 mi,62.1 kWh,90 kW,750 kg,453 L,£138 /mi
Škoda,Elroq 85(MY25),Rear Wheel Drive,C,5,"£34,060",280 mi,275 Wh/mi,"2,115 kg",6.6 sec,306 mi,77.0 kWh,120 kW,"1,000 kg",470 L,£122 /mi
Hyundai,Kona Electric 65 kWh,Front Wheel Drive,B,5,"£38,595",240 mi,273 Wh/mi,"1,773 kg",7.8 sec,243 mi,65.4 kWh,86 kW,750 kg,493 L,£161 /mi
MG,MG4 EV Standard Range,Rear Wheel Drive,C,5,"£26,995",185 mi,275 Wh/mi,"1,710 kg",7.7 sec,190 mi,50.8 kWh,68 kW,500 kg,363 L,£146 /mi
BYD,SEAL 82.5 kWh AWD Excellence,All Wheel Drive,D,5,"£48,695",275 mi,300 Wh/mi,"2,260 kg",3.8 sec,293 mi,82.5 kWh,100 kW,"1,500 kg",453 L,£177 /mi
Tesla,Model Y Long Range AWD,All Wheel Drive,D,7,"£51,990",275 mi,273 Wh/mi,"2,054 kg",5.0 sec,326 mi,75.0 kWh,124 kW,"1,600 kg",971 L,£189 /mi
MG,IM5 Long Range,Rear Wheel Drive,D,5,"£44,995",330 mi,292 Wh/mi,"2,210 kg",4.9 sec,421 mi,96.5 kWh,250 kW,unknown,475 L,£136 /mi
MG,MG4 EV Extended Range,Rear Wheel Drive,C,5,"£36,495",265 mi,281 Wh/mi,"1,826 kg",6.5 sec,282 mi,74.4 kWh,110 kW,500 kg,363 L,£138 /mi
Škoda,Enyaq 85(MY25),Rear Wheel Drive,C,5,"£42,810",285 mi,270 Wh/mi,"2,141 kg",6.7 sec,296 mi,77.0 kWh,120 kW,"1,000 kg",585 L,£150 /mi
